"","value","labl","lga","piped_sewer_system","septic_tank","pit_latrine","open_drain","flushed_elsewhere","ventilated_improved_pit_latrine","pit_latrine_with_slab","open_pit_latrine","composting_toilet","hanging_toilet_latrine","no_facilities"
"1",101,"101. ABA NORTH","Aba North",0,0,0,0,0,0,0,0,0,0,0
"2",102,"102. ABA SOUTH","Aba South",0,28,7,0,0,0,5,0,0,0,0
"3",103,"103. AROCHUKWU","Arochukwu",0,0,0,0,0,0,0,0,0,0,0
"4",104,"104. BENDE","Bende",0,9,0,0,0,0,8,1,0,0,2
"5",105,"105. IKWUANO","Ikwuano",0,4,0,0,0,0,4,1,0,0,0
"6",106,"106. ISIALANGWA NORTH","Isialangwa North",0,0,0,0,0,0,0,0,0,0,0
"7",107,"107. ISIALANGWA SOUTH","Isialangwa South",0,0,1,0,0,0,21,6,0,0,1
"8",108,"108. ISIUKWUATO","Isiukwuato",0,3,0,0,0,0,6,0,0,0,0
"9",109,"109. OBINGWA","Obingwa",0,0,1,1,0,0,21,6,0,0,1
"10",110,"110. OHAFIA","Ohafia",0,0,0,0,0,0,0,0,1,8,1
"11",111,"111. OSISIOMA","Osisioma",0,9,0,0,0,0,10,0,0,0,0
"12",112,"112. UGWUNAGBO","Ugwunagbo",0,9,1,0,0,0,8,2,0,0,0
"13",113,"113. UKWA EAST","Ukwa East",1,6,0,0,0,0,19,4,0,0,0
"14",114,"114. UKWA WEST","Ukwa West",0,0,0,0,0,0,0,0,0,0,0
"15",115,"115. UMUAHIA NORTH","Umuahia North",0,17,0,0,0,0,8,1,0,0,1
"16",116,"116. UMUAHIA SOUTH","Umuahia South",0,0,0,0,0,0,0,0,0,0,0
"17",117,"117. UMUNNEOCHI","Umunneochi",0,8,2,0,0,0,9,1,0,0,0
"18",201,"201. DEMSA","Demsa",0,0,0,0,0,0,0,0,0,0,0
"19",202,"202. FUFORE","Fufore",0,0,0,0,0,0,0,0,0,0,0
"20",203,"203. GANYE","Ganye",0,0,0,0,0,0,5,5,0,0,0
"21",204,"204. GIREI","Girei",0,0,0,0,0,0,8,2,0,0,0
"22",205,"205. GOMBI","Gombi",0,0,0,0,0,0,7,7,0,0,5
"23",206,"206. GUYUK","Guyuk",0,0,0,0,0,0,0,0,0,0,0
"24",207,"207. HONG","Hong",0,0,0,0,0,0,9,9,0,0,1
"25",208,"208. JADA","Jada",0,0,0,0,0,0,3,2,0,0,5
"26",209,"209. LARMURDE","Larmurde",0,0,0,0,0,0,3,4,0,0,11
"27",210,"210. MADAGALI","Madagali",0,0,1,0,0,0,10,3,0,0,5
"28",211,"211. MAIHA","Maiha",0,1,0,0,0,0,17,12,0,0,0
"29",212,"212. MAYO BELWA","Mayo Belwa",0,0,0,0,1,0,5,10,0,0,4
"30",213,"213. MICHIKA","Michika",0,0,2,1,1,0,14,7,0,0,5
"31",214,"214. MUBI NORTH","Mubi North",0,0,0,0,0,0,0,0,0,0,0
"32",215,"215. MUBI SOUTH","Mubi South",0,0,0,0,0,0,4,6,0,0,0
"33",216,"216. NUMAN","Numan",0,0,0,0,0,0,0,0,0,0,0
"34",217,"217. SHELLENG","Shelleng",0,0,0,0,0,0,0,0,0,0,0
"35",218,"218. SONG","Song",0,1,1,0,0,0,7,1,0,0,0
"36",219,"219. TOUNGO","Toungo",0,0,0,0,0,0,7,3,0,0,0
"37",220,"220. YOLA NORTH","Yola North",0,0,7,0,0,0,3,0,0,0,0
"38",221,"221. YOLA SOUTH","Yola South",0,0,4,0,1,0,5,0,0,0,0
"39",301,"301. ABAK","Abak",0,2,3,0,0,0,3,2,0,0,0
"40",302,"302. EASTERN OBOLO","Eastern Obolo",0,0,0,0,0,0,0,0,0,10,0
"41",303,"303. EKET","Eket",0,0,0,0,0,0,0,0,0,0,0
"42",304,"304. ESIT EKET","Esit Eket",1,1,1,0,0,0,11,6,0,0,1
"43",305,"305. ESSIEN UDIM","Essien Udim",1,3,0,0,0,0,13,2,0,0,2
"44",306,"306. ETIM EKPO","Etim Ekpo",0,0,0,0,0,0,0,0,0,0,0
"45",307,"307. ETINAN","Etinan",2,2,0,0,0,0,4,0,0,0,0
"46",308,"308. IBONO","Ibono",2,3,0,0,0,0,2,0,0,0,3
"47",309,"309. IBESIKPO ASUTAN","Ibesikpo Asutan",0,0,0,0,0,1,8,1,0,0,0
"48",310,"310. IBIONO IBOM","Ibiono Ibom",0,0,0,0,0,0,0,0,0,0,0
"49",311,"311. IKA","Ika",0,0,0,0,0,0,0,0,0,0,0
"50",312,"312. IKONO","Ikono",0,0,0,0,0,0,9,1,0,0,0
"51",313,"313. IKOT ABASI","Ikot Abasi",0,0,0,0,0,0,6,1,0,0,1
"52",314,"314. IKOT EKPENE","Ikot Ekpene",0,0,0,0,0,0,0,0,0,0,0
"53",315,"315. INI","Ini",0,0,0,0,0,0,0,0,0,0,0
"54",316,"316. ITU","Itu",2,4,0,0,0,0,13,0,0,0,0
"55",317,"317. MBO","Mbo",0,4,0,0,0,0,4,1,0,0,1
"56",318,"318. MKPAT ENIN","Mkpat Enin",0,2,0,0,0,0,13,4,0,0,0
"57",319,"319. NSIT ATAI","Nsit Atai",0,0,0,0,0,0,0,0,0,0,0
