value,labl,lga
101,101. ABA NORTH,Aba North
102,102. ABA SOUTH,Aba South
103,103. AROCHUKWU,Arochukwu
104,104. BENDE,Bende
105,105. IKWUANO,Ikwuano
106,106. ISIALANGWA NORTH,Isialangwa North
107,107. ISIALANGWA SOUTH,Isialangwa South
108,108. ISIUKWUATO,Isiukwuato
109,109. OBINGWA,Obingwa
110,110. OHAFIA,Ohafia
111,111. OSISIOMA,Osisioma
112,112. UGWUNAGBO,Ugwunagbo
113,113. UKWA EAST,Ukwa East
114,114. UKWA WEST,Ukwa West
115,115. UMUAHIA NORTH,Umuahia North
116,116. UMUAHIA SOUTH,Umuahia South
117,117. UMUNNEOCHI,Umunneochi
201,201. DEMSA,Demsa
202,202. FUFORE,Fufore
203,203. GANYE,Ganye
204,204. GIREI,Girei
205,205. GOMBI,Gombi
206,206. GUYUK,Guyuk
207,207. HONG,Hong
208,208. JADA,Jada
209,209. LARMURDE,Larmurde
210,210. MADAGALI,Madagali
211,211. MAIHA,Maiha
212,212. MAYO BELWA,Mayo Belwa
213,213. MICHIKA,Michika
214,214. MUBI NORTH,Mubi North
215,215. MUBI SOUTH,Mubi South
216,216. NUMAN,Numan
217,217. SHELLENG,Shelleng
218,218. SONG,Song
219,219. TOUNGO,Toungo
220,220. YOLA NORTH,Yola North
221,221. YOLA SOUTH,Yola South
301,301. ABAK,Abak
302,302. EASTERN OBOLO,Eastern Obolo
303,303. EKET,Eket
304,304. ESIT EKET,Esit Eket
305,305. ESSIEN UDIM,Essien Udim
306,306. ETIM EKPO,Etim Ekpo
307,307. ETINAN,Etinan
308,308. IBONO,Ibono
309,309. IBESIKPO ASUTAN,Ibesikpo Asutan
310,310. IBIONO IBOM,Ibiono Ibom
311,311. IKA,Ika
312,312. IKONO,Ikono
313,313. IKOT ABASI,Ikot Abasi
314,314. IKOT EKPENE,Ikot Ekpene
315,315. INI,Ini
316,316. ITU,Itu
317,317. MBO,Mbo
318,318. MKPAT ENIN,Mkpat Enin
319,319. NSIT ATAI,Nsit Atai
320,320. NSIT IBOM,Nsit Ibom
321,321. NSIT UBIUM,Nsit Ubium
322,322. OBOT AKARA,Obot Akara
323,323. OKOBO,Okobo
324,324. ONNA,Onna
325,325. ORON,Oron
326,326. ORUK ANAM,Oruk Anam
327,327. UDUNG UKOT,Udung Ukot
328,328. UKANAFUN,Ukanafun
329,329. URUAN,Uruan
330,330. URUE OFFONG ORUKO,Urue Offong Oruko
331,331. UYO,Uyo
401,401. AGUATA,Aguata
402,402. ANAMBRA EAST,Anambra East
403,403. ANAMBRA WEST,Anambra West
404,404. ANIOCHA,Aniocha
405,405. AWKA NORTH,Awka North
406,406. AWKA SOUTH,Awka South
407,407. AYAMELUM,Ayamelum
408,408. DUNUKOFIA,Dunukofia
409,409. IDEMILI NORTH,Idemili North
410,410. IDEMILI SOUTH,Idemili South
411,411. IHIALA,Ihiala
412,412. EKWUSIGO,Ekwusigo
413,413. NJIKOKA,Njikoka
414,414. NNEWI NORTH,Nnewi North
415,415. NNEWI SOUTH,Nnewi South
416,416. OGBARA,Ogbara
417,417. ONITSHA NORTH,Onitsha North
418,418. ONITSHA SOUTH,Onitsha South
419,419. ORUMBA NORTH,Orumba North
420,420. ORUMBA SOUTH,Orumba South
421,421. OYI,Oyi
501,501. ALKALERI,Alkaleri
502,502. BAUCHI,Bauchi
503,503. BOGORO,Bogoro
504,504. DAMBAM,Dambam
505,505. DARAZO,Darazo
506,506. DASS,Dass
507,507. GAMAWA,Gamawa
508,508. GIADE,Giade
509,509. GUNJUWA,Gunjuwa
510,510. ITAS GADAU,Itas Gadau
511,511. JAMARE,Jamare
512,512. KATAGUM,Katagum
513,513. KIRFI,Kirfi
514,514. MISAU,Misau
515,515. NINGI,Ningi
516,516. SHIRA,Shira
517,517. TAFAWA BALEWA,Tafawa Balewa
518,518. TORO,Toro
519,519. WARJI,Warji
520,520. ZAKI,Zaki
601,601. BRASS,Brass
602,602. EKEREMOR,Ekeremor
603,603. KOLOKUMA,Kolokuma
604,604. NEMBE,Nembe
605,605. OGBIA,Ogbia
606,606. SAGBAMA,Sagbama
607,607. SOUTHERN IJAW,Southern Ijaw
608,608. YENEGOA,Yenegoa
701,701. ADOR,Ador
702,702. AGATU,Agatu
703,703. APA,Apa
704,704. BURUKU,Buruku
705,705. GBOKO,Gboko
