"zone","state","lga","sector","ea","hhid","shock_cd","shock_other","s15aq1","s15aq2","s15aq3a","s15aq3b","s15aq3c","s15aq4","s15aq7_1","s15aq7_2","s15aq7_3","s15aq7_4","s15aq7_os"
4,1,115,1,670,10001,1,,2,,,,,,,,,,
4,1,115,1,670,10001,2,,2,,,,,,,,,,
4,1,115,1,670,10001,3,,2,,,,,,,,,,
4,1,115,1,670,10001,4,,2,,,,,,,,,,
4,1,115,1,670,10001,5,,2,,,,,,,,,,
4,1,115,1,670,10001,6,,2,,,,,,,,,,
4,1,115,1,670,10001,7,,2,,,,,,,,,,
4,1,115,1,670,10001,8,,2,,,,,,,,,,
4,1,115,1,670,10001,9,,2,,,,,,,,,,
4,1,115,1,670,10001,10,,2,,,,,,,,,,
4,1,115,1,670,10001,11,,2,,,,,,,,,,
4,1,115,1,670,10001,12,,2,,,,,,,,,,
4,1,115,1,670,10001,13,,2,,,,,,,,,,
4,1,115,1,670,10001,14,,2,,,,,,,,,,
4,1,115,1,670,10001,15,,2,,,,,,,,,,
4,1,115,1,670,10001,16,,2,,,,,,,,,,
4,1,115,1,670,10001,17,,2,,,,,,,,,,
4,1,115,1,670,10001,18,,2,,,,,,,,,,
4,1,115,1,670,10001,19,,2,,,,,,,,,,
4,1,115,1,670,10001,20,,2,,,,,,,,,,
4,1,115,1,670,10001,21,,2,,,,,,,,,,
4,1,115,1,670,10001,22,,2,,,,,,,,,,
4,1,115,1,670,10002,1,,2,,,,,,,,,,
4,1,115,1,670,10002,2,,2,,,,,,,,,,
4,1,115,1,670,10002,3,,2,,,,,,,,,,
4,1,115,1,670,10002,4,,2,,,,,,,,,,
4,1,115,1,670,10002,5,,2,,,,,,,,,,
4,1,115,1,670,10002,6,,2,,,,,,,,,,
4,1,115,1,670,10002,7,,2,,,,,,,,,,
4,1,115,1,670,10002,8,,2,,,,,,,,,,
4,1,115,1,670,10002,9,,2,,,,,,,,,,
4,1,115,1,670,10002,10,,2,,,,,,,,,,
4,1,115,1,670,10002,11,,2,,,,,,,,,,
4,1,115,1,670,10002,12,,2,,,,,,,,,,
4,1,115,1,670,10002,13,,2,,,,,,,,,,
4,1,115,1,670,10002,14,,2,,,,,,,,,,
4,1,115,1,670,10002,15,,2,,,,,,,,,,
4,1,115,1,670,10002,16,,2,,,,,,,,,,
4,1,115,1,670,10002,17,,2,,,,,,,,,,
4,1,115,1,670,10002,18,,2,,,,,,,,,,
4,1,115,1,670,10002,19,,2,,,,,,,,,,
4,1,115,1,670,10002,20,,2,,,,,,,,,,
4,1,115,1,670,10002,21,,2,,,,,,,,,,
4,1,115,1,670,10002,22,,2,,,,,,,,,,
4,1,115,1,670,10003,1,,2,,,,,,,,,,
4,1,115,1,670,10003,2,,2,,,,,,,,,,
4,1,115,1,670,10003,3,,2,,,,,,,,,,
4,1,115,1,670,10003,4,,2,,,,,,,,,,
4,1,115,1,670,10003,5,,2,,,,,,,,,,
4,1,115,1,670,10003,6,,2,,,,,,,,,,
